City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tautira,PF,2021-03-04 03:20:45,-17.7333,-149.15,82.4,78,75,1.14
68,Arraial Do Cabo,BR,2021-03-04 03:20:44,-22.9661,-42.0278,77.0,83,5,12.66
69,Red Bluff,US,2021-03-04 03:21:59,40.1785,-122.2358,64.4,25,1,5.84
70,Ushuaia,AR,2021-03-04 03:20:03,-54.8,-68.3,50.0,66,0,5.75
71,Aswan,EG,2021-03-04 03:19:58,24.0934,32.907,51.73,51,0,13.96
72,Lompoc,US,2021-03-04 03:17:39,34.6391,-120.4579,51.8,71,40,3.44
73,Ruteng,ID,2021-03-04 03:22:00,-8.6136,120.4721,77.23,60,97,2.19
74,Chicama,PE,2021-03-04 03:22:00,-7.8447,-79.1469,75.36,71,77,4.12
75,Vaini,TO,2021-03-04 03:20:29,-21.2,-175.2,84.2,74,75,12.66
76,Colac,AU,2021-03-04 03:18:24,-38.3333,143.5833,64.0,1,100,5.01
77,Mwanza,TZ,2021-03-04 03:22:00,-2.5167,32.9,69.6,78,100,9.15
78,Jining,CN,2021-03-04 03:22:01,35.405,116.5814,55.4,59,0,11.1
79,Zyryanka,RU,2021-03-04 03:22:01,65.75,150.85,-24.39,84,100,26.19
80,Cape Town,ZA,2021-03-04 03:19:38,-33.9258,18.4232,66.99,94,75,13.8
81,Bermeo,ES,2021-03-04 03:22:02,43.4209,-2.7215,48.99,93,20,4.16
82,Lujan,AR,2021-03-04 03:22:03,-34.5703,-59.105,77.0,89,84,1.99
83,Portland,US,2021-03-04 03:20:07,45.5234,-122.6762,51.01,73,0,2.37
84,Saint-Paul,RE,2021-03-04 03:22:03,-21.0096,55.2707,69.01,89,24,1.01
85,Bandarbeyla,SO,2021-03-04 03:21:33,9.4942,50.8122,76.8,74,58,13.58
86,Banfora,BF,2021-03-04 03:22:04,10.6333,-4.7667,78.51,21,49,1.05
87,Haines Junction,CA,2021-03-04 03:22:04,60.7522,-137.5108,19.4,58,100,5.75
88,Payakumbuh,ID,2021-03-04 03:22:04,-0.2202,100.6308,79.27,69,98,3.65
89,Halifax,CA,2021-03-04 03:18:23,44.6453,-63.5724,30.2,59,0,12.66
90,Mtambile,TZ,2021-03-04 03:22:05,-5.3833,39.7,79.45,79,74,13.56
91,Birao,CF,2021-03-04 03:22:05,10.2849,22.7882,74.23,18,69,11.9
92,Ugoofaaru,MV,2021-03-04 03:17:47,5.6667,73.0,81.95,64,0,13.85
93,Pangnirtung,CA,2021-03-04 03:22:06,66.1451,-65.7125,9.61,86,100,1.23
94,Dikson,RU,2021-03-04 03:19:52,73.5069,80.5464,-25.78,80,36,12.17
95,Yulara,AU,2021-03-04 03:19:16,-25.2406,130.9889,100.4,13,45,14.97
96,Kahului,US,2021-03-04 03:21:07,20.8947,-156.47,75.2,64,40,24.16
97,Lerwick,GB,2021-03-04 03:22:07,60.1545,-1.1494,35.6,69,90,13.8
98,Thompson,CA,2021-03-04 03:19:49,55.7435,-97.8558,12.2,85,20,2.3
99,Saint Anthony,US,2021-03-04 03:20:39,45.0205,-93.218,41.0,52,90,2.95
100,Salmas,IR,2021-03-04 03:22:08,38.1973,44.7653,32.0,69,75,4.61
101,Kaitangata,NZ,2021-03-04 03:19:40,-46.2817,169.8464,60.01,68,43,5.01
102,Upernavik,GL,2021-03-04 03:19:15,72.7868,-56.1549,-1.82,91,100,16.35
103,Camacha,PT,2021-03-04 03:17:58,33.0833,-16.3333,59.0,72,20,10.36
104,Chokurdakh,RU,2021-03-04 03:20:42,70.6333,147.9167,-18.94,88,100,14.5
105,Gold Coast,AU,2021-03-04 03:19:27,-28.0,153.4333,77.0,65,75,13.8
106,Avarua,CK,2021-03-04 03:19:54,-21.2078,-159.775,82.4,78,20,3.44
107,Mar Del Plata,AR,2021-03-04 03:14:29,-38.0023,-57.5575,70.0,94,20,8.05
108,Barra Do Garcas,BR,2021-03-04 03:22:09,-15.89,-52.2567,72.86,92,100,2.15
109,Okhotsk,RU,2021-03-04 03:20:48,59.3833,143.3,-10.62,80,0,15.61
110,Moose Factory,CA,2021-03-04 03:22:10,51.2585,-80.6094,-7.6,84,75,5.75
111,Fairbanks,US,2021-03-04 03:18:26,64.8378,-147.7164,1.4,78,90,2.77
112,Nelson Bay,AU,2021-03-04 03:22:10,-32.7167,152.15,81.0,47,40,8.05
113,Hilo,US,2021-03-04 03:17:08,19.7297,-155.09,77.0,41,1,8.05
114,Vila Velha,BR,2021-03-04 03:22:11,-20.3297,-40.2925,75.2,94,20,2.3
115,Sa Kaeo,TH,2021-03-04 03:22:11,13.75,102.3333,87.22,58,2,1.95
116,Sabang,ID,2021-03-04 03:22:11,5.8933,95.3214,82.85,78,18,19.75
117,Rochester,US,2021-03-04 03:18:33,43.1548,-77.6156,39.0,80,75,10.36
118,Lebu,CL,2021-03-04 03:19:25,-37.6167,-73.65,60.03,83,0,15.64
119,Miri,MY,2021-03-04 03:22:12,4.4148,114.0089,84.2,84,40,5.75
120,Qaqortoq,GL,2021-03-04 03:22:12,60.7167,-46.0333,48.2,31,75,44.87
121,Port Lincoln,AU,2021-03-04 03:21:10,-34.7333,135.8667,67.01,62,0,13.38
122,Hamilton,US,2021-03-04 03:21:19,39.1834,-84.5333,48.2,53,1,9.22
123,Leningradskiy,RU,2021-03-04 03:20:21,69.3833,178.4167,-10.77,90,100,22.03
124,Cherskiy,RU,2021-03-04 03:21:06,68.75,161.3,-0.29,97,100,7.72
125,San Andres,CO,2021-03-04 03:17:30,12.5847,-81.7006,80.6,74,20,13.8
126,Vila,PT,2021-03-04 03:18:15,42.0304,-8.1588,46.0,93,100,1.01
127,Maragogi,BR,2021-03-04 03:22:14,-9.0122,-35.2225,76.8,85,9,6.58
128,Kapaa,US,2021-03-04 03:19:34,22.0752,-159.319,71.6,73,75,16.11
129,Saldanha,ZA,2021-03-04 03:19:31,-33.0117,17.9442,64.4,88,4,5.75
130,Jiuquan,CN,2021-03-04 03:22:15,39.7432,98.5174,39.52,56,12,12.62
131,Bahia Honda,CU,2021-03-04 03:22:15,22.9036,-83.1592,74.12,81,0,4.34
132,Castro,BR,2021-03-04 03:19:43,-24.7911,-50.0119,63.16,95,100,3.71
133,Gonen,TR,2021-03-04 03:22:16,40.1049,27.654,36.0,93,0,2.3
134,Huangmei,CN,2021-03-04 03:22:16,30.1924,116.025,57.27,65,11,3.62
135,Hithadhoo,MV,2021-03-04 03:19:20,-0.6,73.0833,83.25,62,25,9.4
136,Pevek,RU,2021-03-04 03:20:05,69.7008,170.3133,7.34,87,100,8.9
137,Ballina,AU,2021-03-04 03:22:17,-28.8667,153.5667,77.0,53,40,11.5
138,Bengkulu,ID,2021-03-04 03:16:11,-3.8004,102.2655,85.21,62,92,3.8
139,Tuatapere,NZ,2021-03-04 03:18:08,-46.1333,167.6833,64.0,53,83,3.0
140,Paita,PE,2021-03-04 03:22:18,-5.0892,-81.1144,75.65,73,79,8.3
141,Prince Rupert,CA,2021-03-04 03:22:18,54.3161,-130.3201,41.0,87,90,14.97
142,Saskylakh,RU,2021-03-04 03:19:46,71.9167,114.0833,-36.42,80,46,1.72
143,Marzuq,YE,2021-03-04 03:20:08,14.4,46.4667,56.57,52,0,3.76
144,Lorrach,DE,2021-03-04 03:22:07,47.615,7.6646,44.01,81,0,4.61
145,Chuy,UY,2021-03-04 03:20:24,-33.6971,-53.4616,72.34,89,92,10.29
146,Gboko,NG,2021-03-04 03:22:19,7.3179,8.9951,73.71,78,76,7.61
147,Lorengau,PG,2021-03-04 03:20:07,-2.0226,147.2712,84.42,71,98,13.96
148,Longyearbyen,SJ,2021-03-04 03:19:37,78.2186,15.6401,6.8,66,40,9.22
149,Mount Gambier,AU,2021-03-04 03:20:59,-37.8333,140.7667,64.4,63,90,14.97
150,Souillac,MU,2021-03-04 03:16:29,-20.5167,57.5167,75.2,94,75,2.3
151,Ambovombe,MG,2021-03-04 03:22:20,-25.1667,46.0833,73.44,87,0,5.12
152,Altay,CN,2021-03-04 03:20:31,47.8667,88.1167,12.85,78,0,3.22
153,Islahiye,TR,2021-03-04 03:22:20,37.025,36.6306,48.0,87,0,4.61
154,Bambous Virieux,MU,2021-03-04 03:20:47,-20.3428,57.7575,79.0,94,75,2.3
155,Umm Kaddadah,SD,2021-03-04 03:22:21,13.6017,26.6876,64.06,25,1,19.95
