City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Leningradskiy,RU,69.3833,178.4167,-11.94,86,100,2.73,overcast clouds
80,Dikson,RU,73.5069,80.5464,-13.54,90,100,3.15,overcast clouds
81,Opuwo,NA,-18.0607,13.84,70.47,28,62,3.27,broken clouds
82,Nome,US,64.5011,-165.4064,26.6,93,75,13.8,broken clouds
83,Berlevag,NO,70.8578,29.0864,20.28,87,99,3.53,light snow
84,Ribeira Grande,PT,38.5167,-28.7,60.1,91,45,5.03,scattered clouds
85,Esperance,AU,-33.8667,121.9,71.6,64,90,10.36,overcast clouds
86,Kampene,CD,-3.6,26.6667,65.41,91,100,1.88,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,63.0,86,100,1.99,overcast clouds
88,Manta,EC,-0.95,-80.7333,75.2,94,90,9.22,moderate rain
89,Bathsheba,BB,13.2167,-59.5167,77.0,65,20,17.27,few clouds
90,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,7.29,scattered clouds
91,Mwinilunga,ZM,-11.7358,24.4293,61.56,98,100,4.36,light rain
92,Mar Del Plata,AR,-38.0023,-57.5575,61.0,63,40,12.66,scattered clouds
93,Sinnamary,GF,5.3833,-52.95,77.04,86,98,12.06,overcast clouds
94,Yeppoon,AU,-23.1333,150.7333,89.6,40,14,4.61,few clouds
95,Kilindoni,TZ,-7.9139,39.6668,80.76,80,100,13.49,moderate rain
96,Hobart,AU,-42.8794,147.3294,68.0,48,75,11.5,broken clouds
97,Warrnambool,AU,-38.3833,142.4833,64.0,70,61,10.51,broken clouds
98,Huejuquilla El Alto,MX,22.6,-103.8667,56.97,49,0,2.75,clear sky
99,Shellbrook,CA,53.2168,-106.4011,30.2,64,20,12.66,few clouds
100,Longyearbyen,SJ,78.2186,15.6401,23.0,50,75,11.5,broken clouds
101,Qui Nhon,VN,13.7667,109.2333,78.64,76,46,9.4,scattered clouds
102,Provideniya,RU,64.3833,-173.3,19.4,86,90,13.42,heavy snow
103,Faanui,PF,-16.4833,-151.75,83.34,73,100,17.43,overcast clouds
104,Bethel,US,41.3712,-73.414,33.01,59,1,4.14,clear sky
105,Neiafu,TO,-18.65,-173.9833,82.4,65,40,6.91,scattered clouds
106,Tasiilaq,GL,65.6145,-37.6368,17.6,86,75,24.16,snow
107,San Policarpo,PH,12.1791,125.5072,81.36,71,66,15.03,broken clouds
108,Meulaboh,ID,4.1363,96.1285,83.26,66,4,2.66,clear sky
109,Uribia,CO,11.7139,-72.266,78.35,73,95,17.45,overcast clouds
110,Shakhtinsk,KZ,49.71,72.5872,-11.2,77,0,6.71,clear sky
111,Saskylakh,RU,71.9167,114.0833,-23.44,84,66,4.7,broken clouds
112,Mahebourg,MU,-20.4081,57.7,77.0,88,40,7.11,scattered clouds
113,Cabo San Lucas,MX,22.8909,-109.9124,71.6,46,20,3.44,few clouds
114,Cidreira,BR,-30.1811,-50.2056,73.35,83,19,7.83,few clouds
115,Carutapera,BR,-1.195,-46.02,76.32,94,100,8.34,overcast clouds
116,Vila Velha,BR,-20.3297,-40.2925,73.4,94,90,5.75,overcast clouds
117,Namatanai,PG,-3.6667,152.4333,84.81,66,98,7.18,overcast clouds
118,Fort Saint James,CA,54.4333,-124.25,28.24,96,100,1.36,overcast clouds
119,Mazara Del Vallo,IT,37.6641,12.588,48.0,88,23,8.57,few clouds
120,Castro,BR,-24.7911,-50.0119,61.0,93,18,2.57,few clouds
121,Kruisfontein,ZA,-34.0033,24.7314,57.99,89,73,3.47,broken clouds
122,Rosarito,MX,32.3333,-117.0333,59.0,82,75,9.22,broken clouds
123,Ixtapa,MX,20.7,-105.2,73.99,88,1,5.75,clear sky
124,Berdigestyakh,RU,62.0989,126.6992,8.74,94,96,6.11,overcast clouds
125,Odweyne,SO,9.4092,45.064,58.19,88,1,5.68,clear sky
126,Rocha,UY,-34.4833,-54.3333,63.64,91,0,2.1,clear sky
127,Carnarvon,AU,-24.8667,113.6333,82.98,64,97,11.12,overcast clouds
128,Huarmey,PE,-10.0681,-78.1522,72.9,76,93,4.52,overcast clouds
129,Saint-Leu,RE,-21.15,55.2833,77.0,61,0,8.05,clear sky
130,Bredasdorp,ZA,-34.5322,20.0403,55.4,76,100,8.05,overcast clouds
131,Codrington,AU,-38.2667,141.9667,62.47,58,20,10.2,few clouds
132,Cayenne,GF,4.9333,-52.3333,80.6,83,75,8.05,broken clouds
133,Cleburne,US,32.3476,-97.3867,62.01,51,90,8.05,overcast clouds
134,Mackay,AU,-21.15,149.2,87.01,61,19,9.22,few clouds
135,Muros,ES,42.7762,-9.0603,44.01,78,1,1.99,clear sky
136,Airai,TL,-8.9266,125.4092,73.45,77,100,2.71,overcast clouds
137,Singaraja,ID,-8.112,115.0882,84.31,67,72,2.06,broken clouds
138,Tambura,SS,5.6,27.4667,70.95,61,0,5.86,clear sky
139,Hithadhoo,MV,-0.6,73.0833,83.71,64,92,4.76,overcast clouds
140,Zhuhai,CN,22.2769,113.5678,71.01,78,20,13.8,few clouds
141,Portland,US,45.5234,-122.6762,45.0,76,75,13.8,broken clouds
142,Itoman,JP,26.1247,127.6694,73.4,73,20,3.44,few clouds
143,Baruun-Urt,MN,46.6806,113.2792,25.48,89,0,9.24,clear sky
144,Svetlogorsk,BY,52.6333,29.7333,15.66,96,20,6.02,few clouds
145,Tingo Maria,PE,-9.2895,-76.0088,70.14,84,100,2.24,overcast clouds
146,Jennings,US,38.7192,-90.2604,59.0,41,1,6.91,clear sky
147,Cherskiy,RU,68.75,161.3,-10.01,88,100,11.72,overcast clouds
148,Kushiro,JP,42.975,144.3747,33.8,69,20,9.22,few clouds
149,Uvalde,US,29.3669,-99.767,66.2,63,75,9.22,broken clouds
150,Waipawa,NZ,-41.4122,175.5153,69.8,49,87,18.41,overcast clouds
151,Pozo Colorado,PY,-23.4923,-58.7972,74.46,48,0,5.12,clear sky
152,Kaitangata,NZ,-46.2817,169.8464,64.0,70,33,11.01,scattered clouds
153,Alugan,PH,12.2188,125.4808,81.21,71,70,14.34,broken clouds
154,Kahului,US,20.8947,-156.47,71.6,83,90,18.41,heavy intensity rain
155,New Norfolk,AU,-42.7826,147.0587,68.0,44,100,7.0,overcast clouds
156,Cherlak,RU,54.155,74.8055,6.49,93,60,14.9,broken clouds
157,Komsomolskiy,UZ,40.4272,71.7189,42.8,70,100,4.61,mist
158,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,75,16.11,broken clouds
159,Rapid Valley,US,44.0625,-103.1463,55.99,40,1,4.61,clear sky
160,Flinders,AU,-34.5833,150.8552,80.01,65,16,8.99,few clouds
161,Abu Kamal,SY,34.4506,40.9171,53.22,73,16,6.71,few clouds
162,Saldanha,ZA,-33.0117,17.9442,51.8,71,100,2.3,overcast clouds
163,Oranjemund,NA,-28.55,16.4333,59.88,72,13,4.07,few clouds
164,Orangeburg,US,33.4918,-80.8557,48.2,56,1,4.5,clear sky
165,Seddon,AU,-37.8068,144.8916,69.01,68,75,13.8,broken clouds
166,Mackenzie,CA,55.2999,-123.1698,32.0,59,1,2.3,clear sky
167,East London,ZA,-33.0153,27.9116,66.81,65,100,5.68,overcast clouds
168,Hay River,CA,60.8156,-115.7999,-0.4,65,15,2.3,few clouds
169,Guzelyurt,TR,38.2772,34.3719,26.6,68,0,11.5,clear sky
170,Saint-Georges,GD,12.0564,-61.7485,77.0,83,20,5.75,few clouds
171,Xining,CN,36.6167,101.7667,41.83,56,27,1.03,scattered clouds
172,College,US,64.8569,-147.8028,32.0,68,75,1.3,broken clouds
173,Hasaki,JP,35.7333,140.8333,54.0,66,75,10.36,broken clouds
174,Aragarcas,BR,-15.8975,-52.2508,69.22,95,100,1.12,overcast clouds
175,Saint-Francois,FR,46.4154,3.9054,30.99,93,0,1.14,mist
176,Vila Do Maio,CV,15.1333,-23.2167,66.2,72,75,25.32,broken clouds
177,Sand Springs,US,36.1398,-96.1089,62.6,31,100,9.22,overcast clouds
178,Saint-Joseph,RE,-21.3667,55.6167,77.0,61,0,9.22,clear sky
179,Maralal,KE,1.0968,36.698,58.71,63,72,4.81,broken clouds
180,Padang,ID,-0.9492,100.3543,86.0,74,20,1.14,few clouds
181,Shymkent,KZ,42.3,69.6,39.2,81,99,4.47,mist
182,Bubaque,GW,11.2833,-15.8333,77.85,63,0,11.41,clear sky
183,Dunedin,NZ,-45.8742,170.5036,61.0,73,37,15.99,scattered clouds
184,Sinawilan,PH,6.7544,125.2464,86.0,66,75,9.22,broken clouds
185,Geraldton,AU,-28.7667,114.6,96.8,26,93,19.57,overcast clouds
186,Ust-Kuyga,RU,70.0167,135.6,-12.01,86,100,5.41,overcast clouds
187,Mananjary,MG,-21.2167,48.3333,73.31,88,15,6.51,few clouds
188,Urumqi,CN,43.801,87.6005,26.6,93,41,2.24,mist
189,Klyuchi,RU,52.2667,79.1667,9.28,93,6,12.01,clear sky
190,Vao,NC,-22.6667,167.4833,75.78,68,46,11.41,scattered clouds
191,Akyab,MM,20.15,92.9,78.3,62,1,3.85,clear sky
192,Lekoni,GA,-1.5843,14.2591,75.54,74,36,3.85,scattered clouds
193,Guerrero Negro,MX,27.9769,-114.0611,58.05,74,100,16.53,overcast clouds
194,Umarkot,PK,25.3616,69.7362,71.44,64,0,7.2,clear sky
195,Yellowknife,CA,62.456,-114.3525,-5.01,71,40,3.44,scattered clouds
196,Bambanglipuro,ID,-7.95,110.2833,83.05,69,97,2.42,overcast clouds
197,Chokurdakh,RU,70.6333,147.9167,-18.29,85,100,18.99,overcast clouds
198,San Quintin,MX,30.4833,-115.95,56.19,75,100,14.23,overcast clouds
199,Hammerfest,NO,70.6634,23.6821,17.6,49,0,2.3,clear sky
200,Butaritari,KI,3.0707,172.7902,80.58,80,40,11.83,light rain
201,Piterka,RU,50.6803,47.4454,23.47,98,100,5.68,light snow
202,Bilibino,RU,68.0546,166.4372,-19.7,80,100,4.34,overcast clouds
203,Kirksville,US,40.1948,-92.5833,55.99,54,1,8.05,clear sky
204,Alofi,NU,-19.0595,-169.9187,84.2,61,40,12.66,scattered clouds
205,Beringovskiy,RU,63.05,179.3167,-13.13,86,92,3.8,overcast clouds
206,Ranau,MY,5.9538,116.6641,86.0,79,20,5.75,few clouds
207,Tiksi,RU,71.6872,128.8694,-17.75,87,100,8.72,overcast clouds
208,Prabumulih,ID,-3.45,104.25,81.01,79,100,4.5,overcast clouds
209,Itarema,BR,-2.9248,-39.9167,78.01,87,12,8.12,few clouds
210,Patos,BR,-7.0244,-37.28,76.39,69,36,5.19,scattered clouds
211,Saint Anthony,US,45.0205,-93.218,48.2,43,1,4.61,clear sky
212,Chipinge,ZW,-20.1883,32.6236,59.32,93,0,2.37,clear sky
213,Hambantota,LK,6.1241,81.1185,78.8,94,20,5.75,few clouds
214,Fuerte,PH,17.5381,120.3644,83.73,51,0,4.97,clear sky
215,Saint George,US,37.1041,-113.5841,68.0,10,1,9.22,clear sky
216,Santa Luzia,BR,-19.7697,-43.8514,69.8,78,75,4.61,light rain
217,Bislig,PH,8.2167,126.2833,83.19,70,100,7.23,heavy intensity rain
218,Honggang,CN,46.4667,124.8667,35.8,58,0,26.91,clear sky
219,Tolga,DZ,34.7222,5.3785,60.8,63,40,5.75,scattered clouds
220,Nikolskoye,RU,59.7035,30.7861,3.0,85,0,3.36,clear sky
221,Chongwe,ZM,-15.3292,28.682,59.72,95,55,0.43,broken clouds
222,Znamenskoye,RU,57.1281,73.8282,11.66,95,100,11.59,overcast clouds
223,Lorengau,PG,-2.0226,147.2712,85.39,68,100,8.48,overcast clouds
224,Santa Lucia,ES,27.9117,-15.5407,62.01,82,75,16.11,broken clouds
225,Malpe,IN,13.35,74.7167,78.8,89,20,4.47,mist
226,Batagay-Alyta,RU,67.8006,130.4114,-9.42,80,100,2.75,overcast clouds
227,Waingapu,ID,-9.6567,120.2641,84.9,65,57,4.36,broken clouds
228,Ancud,CL,-41.8697,-73.8203,48.99,81,0,4.61,clear sky
229,Sistranda,NO,63.7256,8.834,37.4,87,75,10.36,broken clouds
230,Marysville,US,48.0518,-122.1771,48.2,53,1,3.44,clear sky
231,Coquimbo,CL,-29.9533,-71.3436,62.6,94,0,4.61,clear sky
232,Port Blair,IN,11.6667,92.75,80.6,78,20,2.3,mist
233,Wanaka,NZ,-44.7,169.15,64.24,46,100,9.8,overcast clouds
234,Deer Lake,CA,49.1667,-57.4316,12.2,85,1,2.3,clear sky
235,Kununurra,AU,-15.7667,128.7333,86.0,70,40,5.75,scattered clouds
236,Soe,ID,-9.8607,124.284,78.87,74,50,4.7,scattered clouds
237,Bandarbeyla,SO,9.4942,50.8122,75.4,79,69,8.7,broken clouds
238,Sao Joao Da Ponte,BR,-15.9292,-44.0078,68.0,90,99,1.86,light rain
239,Kavaratti,IN,10.5669,72.642,82.83,70,73,8.61,broken clouds
240,Zhanaozen,KZ,43.3,52.8,29.8,99,100,11.83,snow
241,Mersing,MY,2.4312,103.8405,84.2,74,40,9.22,scattered clouds
242,Georgetown,MY,5.4112,100.3354,84.2,58,20,6.91,few clouds
243,Illapel,CL,-31.6308,-71.1653,63.32,73,0,1.1,clear sky
244,Sept-Iles,CA,50.2001,-66.3821,18.0,92,20,2.3,few clouds
245,Adamovka,RU,51.5223,59.9396,12.78,92,71,17.78,broken clouds
246,Viedma,AR,-40.8135,-62.9967,60.75,58,18,15.79,few clouds
247,Emerald,AU,-23.5333,148.1667,91.0,43,40,8.05,scattered clouds
248,De-Kastri,RU,51.4667,140.7833,27.28,90,99,9.66,overcast clouds
249,Rundu,NA,-17.9333,19.7667,64.54,72,34,3.13,scattered clouds
250,Morant Bay,JM,17.8815,-76.4093,80.6,69,20,9.22,few clouds
251,Kalur Kot,PK,32.1564,71.2594,72.16,27,0,7.4,clear sky
252,Narsaq,GL,60.9167,-46.05,26.6,59,90,8.05,overcast clouds
253,Albanel,CA,48.8832,-72.4487,12.2,79,100,2.3,snow
254,Callaway,US,30.153,-85.5699,55.0,66,1,3.44,clear sky
255,Hofn,IS,64.2539,-15.2082,38.79,71,100,15.52,overcast clouds
256,Paisley,GB,55.8317,-4.4325,44.6,93,90,3.44,overcast clouds
257,Morki,RU,56.4303,48.9947,2.35,94,96,5.1,overcast clouds
258,Dabat,ET,12.9842,37.765,53.28,44,0,3.44,clear sky
259,Wanning,CN,18.8003,110.3967,75.74,84,73,10.36,broken clouds
260,Nadym,RU,65.5333,72.5167,-31.11,84,38,9.51,scattered clouds
261,Jaciara,BR,-15.9653,-54.9683,69.01,94,100,3.24,overcast clouds
262,Constitucion,CL,-35.3333,-72.4167,59.14,62,0,9.8,clear sky
263,Katsuura,JP,35.1333,140.3,54.0,63,100,1.01,overcast clouds
264,Smithers,CA,54.7804,-127.1743,32.0,69,40,3.44,scattered clouds
265,Walla Walla,US,46.0646,-118.343,46.0,65,75,6.91,broken clouds
266,Haines Junction,CA,60.7522,-137.5108,21.2,42,0,3.44,clear sky
267,Natitingou,BJ,10.3042,1.3796,76.8,37,36,3.58,scattered clouds
268,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,0,3.44,clear sky
269,Banikoara,BJ,11.2985,2.4386,77.49,20,26,5.64,scattered clouds
270,Pisco,PE,-13.7,-76.2167,75.2,69,0,5.75,clear sky
271,Pachelma,RU,53.2443,43.3521,2.66,94,46,4.88,scattered clouds
272,Cam Ranh,VN,11.9214,109.1591,84.2,61,20,11.5,few clouds
273,Majene,ID,-3.5403,118.9707,87.26,56,25,2.91,scattered clouds
274,Pacific Grove,US,36.6177,-121.9166,52.0,75,90,4.36,overcast clouds
275,Suhut,TR,38.5311,30.5458,34.0,78,100,2.19,overcast clouds
276,Ilheus,BR,-14.7889,-39.0494,82.4,78,40,5.75,scattered clouds
277,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.6,86,1,9.22,clear sky
278,Vanavara,RU,60.34,102.2797,27.37,96,100,16.62,light snow
279,Andenes,NO,69.3143,16.1194,25.0,74,0,12.66,clear sky
280,Inhambane,MZ,-23.865,35.3833,72.82,85,0,7.61,clear sky
281,Port Lincoln,AU,-34.7333,135.8667,67.51,63,1,13.56,clear sky
282,Roma,US,43.2128,-75.4557,33.01,51,90,8.05,overcast clouds
283,Bengkulu,ID,-3.8004,102.2655,83.73,53,100,1.83,overcast clouds
284,Kolondieba,ML,11.0882,-6.8926,78.78,55,64,4.52,broken clouds
285,Abalak,RU,58.1286,68.5944,16.48,96,99,10.6,overcast clouds
286,Ngorongoro,TZ,-3.2397,35.4875,50.07,100,79,1.68,broken clouds
287,Yerbogachen,RU,61.2767,108.0108,15.53,96,100,17.4,light snow
288,Hosdurga,IN,13.7981,76.2861,74.71,54,0,7.36,clear sky
289,Sai Buri,TH,6.7013,101.6168,84.2,70,20,6.91,few clouds
290,Kodinsk,RU,58.6881,99.1844,29.34,93,100,15.97,light snow
291,Mbengwi,CM,6.0167,10.0,63.23,91,7,4.03,clear sky
292,Usinsk,RU,65.9939,57.5281,-29.94,85,87,4.9,overcast clouds
293,Podosinovets,RU,60.2776,47.0659,-13.72,88,66,6.22,broken clouds
294,Tuatapere,NZ,-46.1333,167.6833,66.99,57,100,8.99,moderate rain
295,Tazovskiy,RU,67.4667,78.7,-18.27,88,100,10.94,overcast clouds
296,Dehloran,IR,32.6941,47.2679,57.45,36,7,1.45,clear sky
297,Broome,US,42.2506,-75.833,36.0,38,90,8.05,overcast clouds
298,Buenos Aires,AR,-34.6132,-58.3772,69.8,68,0,11.5,clear sky
299,Champaign,US,40.1334,-88.2001,51.01,66,1,10.36,clear sky
300,Port Augusta,AU,-32.5,137.7667,81.0,53,97,12.66,overcast clouds
301,Clyde River,CA,70.4692,-68.5914,-4.0,84,90,13.8,overcast clouds
302,Albion,US,42.2431,-84.753,46.4,61,1,5.44,clear sky
303,Areka,ET,7.0667,37.7,62.31,34,42,2.86,scattered clouds
304,Salinopolis,BR,-0.6136,-47.3561,78.06,88,100,10.33,overcast clouds
305,Udachnyy,RU,66.4167,112.4,1.2,90,97,8.23,overcast clouds
306,Pontivy,FR,48.0,-3.0,37.0,80,90,4.61,overcast clouds
307,Brindisi,IT,40.5833,17.6667,51.01,93,0,5.75,clear sky
308,Aklavik,CA,68.2191,-135.0107,-0.4,71,0,6.91,clear sky
309,Orono,US,44.8831,-68.672,26.6,54,1,4.61,clear sky
310,Laguna,US,38.421,-121.4238,53.6,50,20,10.36,few clouds
311,Batticaloa,LK,7.7102,81.6924,82.44,68,14,5.88,few clouds
312,Birjand,IR,32.8663,59.2211,51.8,22,0,20.71,clear sky
313,Husavik,IS,66.0449,-17.3389,32.0,74,0,3.44,clear sky
314,Goderich,CA,43.7501,-81.7165,37.4,81,45,4.61,scattered clouds
315,Posadas,AR,-27.3671,-55.8961,66.99,60,0,3.91,clear sky
316,Barcelos,PT,41.5388,-8.6151,48.0,76,0,5.75,clear sky
317,Taltal,CL,-25.4,-70.4833,64.47,79,35,0.92,scattered clouds
318,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,40,6.98,scattered clouds
319,Ilulissat,GL,69.2167,-51.1,17.6,73,90,4.61,overcast clouds
320,Lompoc,US,34.6391,-120.4579,51.8,66,1,9.22,clear sky
321,Sidi Ali,DZ,36.0998,0.4206,48.25,92,99,2.37,overcast clouds
322,Palana,RU,59.1167,159.9667,-2.63,91,37,12.41,scattered clouds
323,Amuntai,ID,-2.4177,115.2494,85.14,73,21,2.33,few clouds
324,Clonakilty,IE,51.6231,-8.8706,46.99,100,75,8.05,broken clouds
325,Raudeberg,NO,61.9875,5.1352,39.99,75,89,18.86,overcast clouds
326,Luderitz,NA,-26.6481,15.1594,61.81,75,1,7.38,clear sky
